type,detail,comment,raw_code,label
Asserts should not be used to check the parameters of a public method,Replace this assert with a proper check.,this might need some fixes. consider all error paths. ,"    assert spark.sql(""SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table"").except(insertQueryDataIn).except(updateQueryDataIn).count() == 0;",0
Unused method parameters should be removed,Remove these unused method parameters.,nit:  this can be on same line,                     PrimitiveType primitive) {,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""0.0.0.0"" 4 times.",I think you miss the deletion of this?,"            grpcServer = new GRPCServer(Strings.isBlank(config.getGRPCHost()) ? ""0.0.0.0"" : config.getGRPCHost(), config",0
Modifiers should be declared in the correct order,Reorder the modifiers to comply with the Java Language Specification.,Only this one is required. Recommend changing it to applyMathOperator(),"  abstract protected void transformDouble(double[] result, double[] values, int length);",0
Math operands should be cast before assignment,"Cast one of the operands of this multiplication operation to a ""long"".",Same errors as above.,"    double functionMTTDInHour = TimeUnit.HOURS.convert(detectionBucketSize * detectionWindowSize, detectionUnit);",0
Field names should comply with a naming convention,"Rename this field ""_ingestionTimestamp"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","Any reason why we are not using primitives here? Consider high ingestion use cases, a single server serving multiple partitions. Will it generate more unnecessary garbage? We could use -1 for an invalid value?",  private Long _ingestionTimestamp;,0
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".",TypeConverter looks better? I see the function is to convert type and would you please add some tests?,  public abstract static class TypeOptimizer implements Serializable {,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,It would be nice to have a Jira ticket for all TODOs,    // TODO: support other target types in writeTo() if needed.,1
"Collapsible ""if"" statements should be merged",Merge this if statement with the enclosing one.,"nit: I think it would be cleaner if you combined the step and mode conditions in the same if statement instead of nesting them 

OR the other thing you could do is create a static multimap, then you could do something like urlparams.get(datatype).get(mode).get(step) here -- this might be overkill for these two configs since they only support 1 datatype each but just a thought. ","    if (dataType.equals(""PHOTOS"")) {
IfStmt       if (step == OAuth1Step.AUTHORIZATION) {
IfStmt         if (mode == AuthMode.EXPORT) {
BlockStmt           return ImmutableMap.of(PERMS, ""read"");
BlockStmt         } else {
ReturnStmt           return ImmutableMap.of(PERMS, ""write"");
ReturnStmt         }
ReturnStmt       }",1
Raw types should not be used,Provide the parametrized type for this generic.,"You don't need this variable `futureList`, just use `metrics.getIds().stream().map(...).forEach(...)`",            List<CompletableFuture> futureList = new ArrayList<>();,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"This change isn't very satisfying, right? Instead of being able to debug something, we run tests with debugging disabled.",                                         : ActionProvider.COMMAND_TEST //TODO: COMMAND_DEBUG_TEST is missing?,0
"Constructors should not be used to instantiate ""String"", ""BigInteger"", ""BigDecimal"" and primitive-wrapper classes","Remove this ""Integer"" constructor",Do we really need the new Integer() here?,                                    c1 = rset.get(new Integer(1));,1
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,public class NodeUrlUtils {,public class NodeUrlParseConvertUtils {,0
"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""",Make this final field static too.,"Should we use Duration or TimeGranularity instead of String, since we are converting it anyway?","  private final String DEFAULT_DATA_SLA = ""3_DAYS"";",0
Empty arrays and collections should be returned instead of null,Return an empty collection instead of null.,How about return an empty set instead of null to prevent NullPointerException. ,      return null;,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""endTime"" 3 times.",Same concern about array and debug.,"            Arrays.toString(parameter.get(""endTime"")), Arrays.toString(parameter.get(""from"")));",0
Two branches in a conditional structure should not have exactly the same implementation,This branch's code block is the same as the block for the branch on line 243.,Grammar related exceptions seem `unhealth` to me. @hanahmily What do you think?,"        if (e instanceof InfluxDBIOException) {
IfStmt             healthChecker.unHealth(e);
IfStmt         } else if (!(e instanceof InfluxDBException)) {
ExpressionStmt             healthChecker.unHealth(e);",0
"Unused ""private"" fields should be removed","Remove this unused ""ALBUM_MAX_SIZE"" private field.",What's up with this formatting,	private final int       ALBUM_MAX_SIZE						= 5000;,0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"We have a RuntimeMetaException which supports formatting, should we create a RuntimeTException to supporting formatting ?","      throw new RuntimeException(errMsg, e);",1
"""String#replace"" should be preferred to ""String#replaceAll""","Replace this call to ""replaceAll()"" by a call to the ""replace()"" method.","Use `replace` instead of `replaceAll` to avoid regex match. The first replace can be optimized by passing in `char` instead of `String`. The whole method can be simplified to:
    return escapeMetaCharacters(value).replace('_', '.').replace(""%"", "".*"");","    return result.replaceAll(""%"", "".*"");",1
"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used","Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()"".",Should use `Collections.emptyList()`,            return Collections.EMPTY_LIST;,1
Unnecessary imports should be removed,Remove this unused import 'io.dropwizard.hibernate.UnitOfWork'.,"unneeded import?
",import io.dropwizard.hibernate.UnitOfWork;,1
"Mutable fields should not be ""public static""","Make this member ""protected"".","Only contain tsfile, resource, mods",  public static final String[] DATA_FILE_SUFFIX =,0
